,Type, Floor, Area, Structure, Inarea, Architectural_type, Orientation, Building_structure, Situation, Ratio, Elevator, Years, Price, PerPrice, Region, No
34,3室2厅1厨2卫,低楼层 (共18层),121㎡,平层,暂无数据,板楼,南 北,框架结构,精装,两梯三户,有,70年,144.5万,11943元/平米,城关区 碧桂园 ,
35,4室2厅1厨2卫,低楼层 (共25层),180㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯两户,有,70年,180万,10000元/平米,城关区 碧桂园 ,
36,2室2厅1厨1卫,中楼层 (共14层),90.12㎡,平层,77.36㎡,板楼,南 北,框架结构,精装,一梯四户,无,70年,88万,9765元/平米,西固区 西固区 ,
37,2室2厅1厨1卫,中楼层 (共8层),87.7㎡,平层,72.58㎡,板楼,南,框架结构,精装,一梯三户,无,70年,79万,9008元/平米,西固区 西固区 ,
38,2室1厅1厨1卫,高楼层 (共6层),56.25㎡,平层,暂无数据,塔楼,南 北,砖混结构,简装,一梯两户,无,70年,150万,26667元/平米,城关区 东方红广场 ,
39,2室1厅1厨1卫,低楼层 (共18层),94.6㎡,平层,暂无数据,塔楼,南 北,框架结构,精装,一梯四户,有,70年,85万,8986元/平米,城关区 九州 ,
40,3室2厅1厨2卫,中楼层 (共11层),142.56㎡,平层,暂无数据,板楼,东 西,框架结构,精装,一梯两户,有,70年,140万,9821元/平米,西固区 西固区 ,
41,2室2厅1厨1卫,高楼层 (共8层),79㎡,平层,暂无数据,板塔结合,东 西,框架结构,精装,一梯两户,无,70年,92万,11646元/平米,西固区 西固区 ,
42,3室2厅1厨1卫,低楼层 (共26层),114㎡,平层,114㎡,板楼,南 北,框架结构,精装,两梯三户,有,70年,114万,10000元/平米,城关区 碧桂园 ,
43,2室1厅1厨1卫,高楼层 (共8层),71.98㎡,平层,61.76㎡,板塔结合,西 东,框架结构,简装,一梯三户,无,70年,73.9万,10267元/平米,城关区 大润发 ,
44,2室0厅1厨1卫,中楼层 (共8层),41.73㎡,平层,暂无数据,塔楼,东 西,框架结构,简装,一梯三户,无,70年,125万,29955元/平米,城关区 兰大盘旋路 ,
45,2室2厅1厨1卫,低楼层 (共26层),94.25㎡,平层,67.58㎡,板楼,南 北,钢混结构,精装,两梯四户,有,70年,136万,14430元/平米,城关区 北面滩 ,
46,2室2厅1厨1卫,低楼层 (共9层),92.76㎡,平层,80.43㎡,板楼,南,钢混结构,简装,两梯三户,有,70年,130万,14015元/平米,安宁区 安宁庭院 ,
47,2室1厅1厨1卫,高楼层 (共6层),57.19㎡,平层,暂无数据,板塔结合,南 北,混合结构,简装,一梯三户,无,70年,110万,19235元/平米,城关区 东方红广场 ,
48,4室2厅1厨2卫,低楼层 (共30层),153㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,70年,198万,12942元/平米,城关区 碧桂园 ,
49,4室2厅1厨3卫,高楼层 (共25层),180㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,70年,188万,10445元/平米,城关区 碧桂园 ,
50,5室2厅1厨3卫,高楼层 (共23层),340㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯两户,有,70年,340万,10000元/平米,城关区 碧桂园 ,
51,2室2厅1厨1卫,高楼层 (共18层),94.5㎡,平层,暂无数据,板楼,东 西,框架结构,简装,一梯三户,有,70年,116万,12276元/平米,城关区 大润发 ,
52,2室2厅1厨1卫,中楼层 (共18层),104㎡,平层,84.53㎡,板楼,南 北,钢混结构,简装,一梯三户,无,70年,198万,19039元/平米,城关区 北面滩 ,
53,1室1厅1厨1卫,中楼层 (共6层),23.98㎡,平层,23.98㎡,板塔结合,南,砖混结构,简装,一梯四户,无,70年,60万,25021元/平米,城关区 兰大盘旋路 ,
54,2室2厅1厨1卫,高楼层 (共12层),75.84㎡,平层,63.57㎡,塔楼,东南,框架结构,简装,一梯三户,有,70年,83.5万,11011元/平米,城关区 北面滩 ,
