,Type, Floor, Area, Structure, Inarea, Architectural_type, Orientation, Building_structure, Situation, Ratio, Elevator, Years, Price, PerPrice, Region, No
617,2室1厅1厨1卫,高楼层 (共12层),71.6㎡,平层,暂无数据,板楼,西,框架结构,简装,一梯十二户,无,70年,90万,12570元/平米,七里河区 七里河区 ,
618,3室2厅1厨1卫,中楼层 (共12层),117.4㎡,平层,暂无数据,板楼,南,框架结构,精装,一梯六户,无,70年,128.5万,10946元/平米,城关区 城关区 ,
619,2室1厅1厨1卫,高楼层 (共32层),121㎡,平层,暂无数据,板楼,南 北,框架结构,简装,两梯六户,有,70年,157万,12976元/平米,城关区 雁滩高新区 ,
620,3室1厅1厨1卫,高楼层 (共5层),42㎡,平层,暂无数据,板塔结合,南 北,混合结构,精装,一梯三户,无,70年,38万,9048元/平米,城关区 东方红广场 ,
621,2室1厅1厨1卫,高楼层 (共8层),78㎡,平层,暂无数据,板楼,南,框架结构,简装,一梯四户,无,70年,95万,12180元/平米,七里河区 仁恒美林郡 ,
622,2室2厅1厨1卫,高楼层 (共7层),117.93㎡,平层,暂无数据,板塔结合,西南,钢混结构,简装,一梯两户,无,70年,129万,10939元/平米,安宁区 海关 ,
623,2室1厅1厨1卫,中楼层 (共8层),78㎡,平层,暂无数据,板塔结合,南,框架结构,简装,一梯三户,无,70年,68万,8718元/平米,七里河区 龚家湾 ,
624,2室2厅1厨1卫,高楼层 (共6层),80㎡,平层,暂无数据,板楼,南 北,框架结构,简装,一梯三户,无,70年,87万,10875元/平米,安宁区 安宁科教城 ,
625,2室2厅1厨1卫,高楼层 (共8层),87.5㎡,平层,暂无数据,板楼,南 北,框架结构,简装,一梯两户,无,70年,99万,11315元/平米,安宁区 费家营十子 ,
626,3室1厅1厨1卫,高楼层 (共8层),87㎡,平层,暂无数据,板塔结合,南 北,框架结构,精装,一梯三户,无,70年,92万,10575元/平米,城关区 大润发 ,
627,2室1厅1厨1卫,中楼层 (共8层),65㎡,平层,暂无数据,暂无数据,南 北,未知结构,简装,一梯三户,无,70年,70万,10770元/平米,城关区 二热 ,
628,2室0厅1厨1卫,中楼层 (共6层),65㎡,平层,暂无数据,暂无数据,南 北,未知结构,其他,一梯三户,暂无数据,70年,130万,20000元/平米,城关区 兰大盘旋路 ,
629,2室2厅1厨2卫,低楼层 (共34层),101㎡,复式,80㎡,板楼,南,框架结构,精装,两梯六户,有,70年,153万,15149元/平米,城关区 雁滩高新区 ,
630,3室2厅1厨2卫,低楼层 (共18层),153㎡,平层,暂无数据,板楼,南 北,框架结构,简装,一梯四户,有,70年,240万,15687元/平米,城关区 大润发 ,
631,3室2厅1厨1卫,中楼层 (共6层),89㎡,平层,暂无数据,板塔结合,南 北,框架结构,简装,两梯两户,有,70年,110万,12360元/平米,城关区 北面滩 ,
632,2室2厅1厨1卫,中楼层 (共18层),102.14㎡,平层,暂无数据,板楼,南 西,框架结构,精装,一梯五户,有,70年,139万,13609元/平米,城关区 北面滩 ,
633,2室2厅1厨1卫,高楼层 (共6层),96.58㎡,平层,暂无数据,板楼,南 北,框架结构,简装,一梯两户,无,70年,99.9万,10344元/平米,安宁区 海关 ,
634,2室2厅1厨1卫,中楼层 (共26层),108㎡,平层,暂无数据,板楼,南,框架结构,简装,两梯四户,有,70年,147.5万,13658元/平米,安宁区 海关 ,
635,2室2厅1厨1卫,中楼层 (共30层),105㎡,平层,暂无数据,板楼,南,框架结构,简装,两梯六户,有,70年,130万,12381元/平米,城关区 雁滩高新区 ,
636,3室2厅1厨1卫,低楼层 (共32层),117㎡,平层,暂无数据,板楼,南 北,框架结构,精装,两梯四户,有,70年,135万,11539元/平米,七里河区 秀川 ,
637,4室2厅2厨3卫,中楼层 (共39层),253.68㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,70年,545万,21484元/平米,城关区 大润发 ,
638,1室1厅1厨1卫,中楼层 (共9层),41.22㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯八户,无,70年,60万,14557元/平米,城关区 西关南关 ,
639,2室2厅1厨1卫,高楼层 (共8层),87.6㎡,平层,暂无数据,板楼,南 北,框架结构,精装,一梯两户,无,70年,113万,12900元/平米,城关区 雁滩高新区 ,
640,2室2厅1厨1卫,高楼层 (共32层),104.38㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯四户,无,70年,168万,16096元/平米,城关区 北面滩 ,
641,3室2厅1厨2卫,高楼层 (共33层),156㎡,平层,暂无数据,板楼,西北,钢混结构,简装,三梯九户,有,70年,189万,12116元/平米,城关区 火车站 ,
642,2室2厅1厨1卫,高楼层 (共32层),85㎡,平层,暂无数据,板楼,东南,钢混结构,精装,一梯六户,有,70年,105万,12353元/平米,城关区 大沙坪 ,
643,3室2厅1厨2卫,低楼层 (共9层),153.16㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯三户,有,70年,315万,20567元/平米,城关区 东方红广场 ,
644,3室2厅1厨2卫,低楼层 (共32层),132.4㎡,平层,105.83㎡,板楼,南 北,钢混结构,精装,两梯四户,有,70年,180万,13596元/平米,安宁区 莫高大道 ,
645,3室2厅1厨2卫,中楼层 (共28层),127㎡,平层,暂无数据,板楼,东南,框架结构,精装,两梯七户,有,70年,161万,12678元/平米,城关区 北面滩 ,
646,3室2厅1厨1卫,高楼层 (共16层),99㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯六户,有,70年,173万,17475元/平米,城关区 东方红广场 ,
647,2室1厅1厨2卫,高楼层 (共22层),87.38㎡,平层,暂无数据,板楼,西南,钢混结构,简装,两梯八户,有,70年,260万,29756元/平米,城关区 兰大盘旋路 ,
648,3室2厅1厨2卫,低楼层 (共32层),150.56㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯三户,有,70年,185万,12288元/平米,安宁区 安宁庭院 ,
649,3室2厅1厨2卫,中楼层 (共11层),147.9㎡,平层,暂无数据,板楼,南 北,框架结构,精装,一梯两户,无,70年,260万,17580元/平米,城关区 大润发 ,
650,2室1厅1厨1卫,中楼层 (共30层),169㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,70年,185万,10947元/平米,城关区 北面滩 ,
651,3室2厅1厨1卫,高楼层 (共14层),122.3㎡,平层,暂无数据,板楼,南 北,框架结构,精装,一梯两户,无,70年,128万,10467元/平米,城关区 北面滩 ,
652,4室2厅1厨2卫,低楼层 (共18层),213.57㎡,平层,暂无数据,板楼,南 北,框架结构,毛坯,两梯六户,有,70年,210万,9833元/平米,城关区 北面滩 ,
653,3室2厅1厨1卫,中楼层 (共31层),116.18㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯四户,有,70年,167万,14375元/平米,七里河区 仁恒美林郡 ,
654,3室2厅1厨2卫,中楼层 (共30层),156.7㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,一梯四户,无,70年,220万,14040元/平米,城关区 二热 ,
655,4室2厅1厨2卫,高楼层 (共6层),145㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,70年,186万,12828元/平米,城关区 火车站 ,
656,3室2厅1厨2卫,低楼层 (共33层),162㎡,平层,暂无数据,暂无数据,南 北,未知结构,毛坯,两梯三户,有,70年,260万,16050元/平米,安宁区 安宁区 ,
657,2室1厅1厨1卫,中楼层 (共8层),59.74㎡,平层,51.9㎡,板楼,东 西,框架结构,简装,一梯三户,无,70年,67万,11216元/平米,城关区 五泉广场 ,
658,2室2厅1厨1卫,高楼层 (共8层),94.18㎡,平层,暂无数据,板塔结合,西,框架结构,简装,一梯三户,无,70年,92万,9769元/平米,城关区 东方红广场 ,
659,2室1厅1厨1卫,高楼层 (共28层),121.44㎡,平层,暂无数据,板楼,东,钢混结构,简装,两梯八户,有,70年,160万,13176元/平米,城关区 西关南关 ,
660,3室2厅1厨2卫,低楼层 (共28层),149.04㎡,平层,118.59㎡,板楼,南 北,框架结构,毛坯,两梯四户,有,70年,210万,14091元/平米,城关区 雁滩高新区 ,
661,2室2厅1厨1卫,高楼层 (共6层),87.04㎡,平层,暂无数据,暂无数据,北 南,未知结构,简装,一梯两户,暂无数据,70年,72万,8273元/平米,城关区 大沙坪 ,
662,3室2厅1厨1卫,高楼层 (共34层),98㎡,平层,暂无数据,板楼,北 南,钢混结构,毛坯,两梯四户,有,70年,124万,12654元/平米,安宁区 安宁高新区 ,
663,2室1厅1厨1卫,中楼层 (共12层),77.03㎡,平层,暂无数据,板楼,西北,框架结构,精装,一梯三户,有,70年,80万,10386元/平米,城关区 九州 ,
664,3室2厅1厨1卫,低楼层 (共33层),98㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,70年,142万,14490元/平米,安宁区 安宁高新区 ,
665,2室2厅1厨1卫,中楼层 (共28层),132.43㎡,平层,暂无数据,板楼,东 西,钢混结构,精装,一梯两户,有,70年,248万,18727元/平米,城关区 兰大盘旋路 ,
666,3室2厅1厨1卫,高楼层 (共9层),119㎡,平层,暂无数据,板楼,北 南,框架结构,简装,一梯三户,无,70年,180万,15127元/平米,城关区 东方红广场 ,
667,3室2厅1厨2卫,高楼层 (共31层),131.71㎡,平层,105.83㎡,板楼,南 北,框架结构,毛坯,两梯四户,有,70年,205万,15565元/平米,安宁区 莫高大道 ,
668,3室2厅1厨2卫,高楼层 (共33层),152㎡,平层,暂无数据,塔楼,南 北,钢结构,简装,一梯六户,无,70年,327万,21514元/平米,城关区 火车站 ,
669,2室2厅1厨1卫,高楼层 (共8层),85㎡,平层,暂无数据,板塔结合,南 北,框架结构,简装,一梯两户,无,70年,87万,10236元/平米,城关区 东方红广场 ,
670,2室2厅1厨2卫,低楼层 (共25层),120.8㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,70年,185万,15315元/平米,安宁区 海关 ,
671,2室2厅1厨1卫,中楼层 (共8层),108㎡,平层,暂无数据,板楼,南 北,框架结构,简装,一梯两户,无,70年,108万,10000元/平米,城关区 大沙坪 ,
672,4室2厅1厨2卫,低楼层 (共33层),178.18㎡,平层,暂无数据,板楼,南 北,框架结构,毛坯,两梯四户,有,70年,188万,10552元/平米,安宁区 罗马花园 ,
673,2室2厅1厨1卫,低楼层 (共11层),105㎡,平层,87㎡,板楼,东 西,框架结构,简装,一梯三户,无,70年,135万,12858元/平米,城关区 二热 ,
674,2室1厅1厨1卫,高楼层 (共6层),52㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯三户,无,70年,123万,23654元/平米,城关区 东部 ,
675,2室2厅1厨1卫,低楼层 (共7层),78.17㎡,平层,63.72㎡,板楼,东 西,框架结构,简装,一梯两户,无,70年,133万,17015元/平米,城关区 大润发 ,
676,2室1厅1厨1卫,高楼层 (共8层),52㎡,平层,暂无数据,板楼,南,框架结构,精装,一梯五户,无,70年,65万,12500元/平米,城关区 西关南关 ,
677,3室2厅1厨2卫,中楼层 (共19层),191㎡,平层,暂无数据,塔楼,东 西 北,钢混结构,其他,两梯二十户,有,70年,218万,11414元/平米,城关区 火车站 ,
678,3室2厅1厨1卫,低楼层 (共31层),98.99㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,70年,99万,10002元/平米,城关区 碧桂园 ,
679,2室1厅1厨1卫,中楼层 (共6层),65.5㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯两户,无,70年,83万,12672元/平米,西固区 西固区 ,
680,1室1厅1厨1卫,中楼层 (共34层),68.9㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯四户,有,70年,95万,13789元/平米,安宁区 安宁区 ,
681,2室1厅1厨1卫,中楼层 (共6层),48㎡,平层,暂无数据,暂无数据,南,未知结构,简装,一梯三户,无,70年,43万,8959元/平米,西固区 西固区 ,
682,2室1厅1厨1卫,中楼层 (共7层),51㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯三户,无,70年,95万,18628元/平米,城关区 五泉广场 ,
683,2室1厅1厨1卫,中楼层 (共8层),49.57㎡,平层,暂无数据,板楼,南,框架结构,简装,一梯三户,无,70年,83万,16744元/平米,城关区 兰大盘旋路 ,
684,2室2厅1厨1卫,中楼层 (共33层),95㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯四户,无,70年,152万,16000元/平米,城关区 东方红广场 ,
685,1室2厅1厨1卫,低楼层 (共30层),66.23㎡,平层,暂无数据,板楼,北,框架结构,精装,两梯五户,有,70年,98万,14797元/平米,城关区 城关区 ,
686,2室2厅1厨2卫,高楼层 (共33层),110㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯四户,有,70年,166万,15091元/平米,城关区 北面滩 ,
687,2室2厅1厨2卫,低楼层 (共8层),44.64㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,三梯三户,有,70年,58.5万,13105元/平米,七里河区 晏家坪 ,
688,1室1厅1厨1卫,高楼层 (共22层),45.3㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯十户,有,70年,64.5万,14239元/平米,城关区 雁滩高新区 ,
689,3室2厅1厨1卫,低楼层 (共8层),129.21㎡,平层,暂无数据,板楼,南,框架结构,简装,一梯两户,无,70年,129万,9984元/平米,城关区 东部 ,
690,1室1厅1厨1卫,中楼层 (共7层),59.48㎡,平层,暂无数据,板楼,南,框架结构,简装,一梯四户,无,70年,83.5万,14039元/平米,城关区 北面滩 ,
691,2室1厅1厨1卫,低楼层 (共6层),57㎡,平层,暂无数据,板楼,东 西,混合结构,简装,一梯三户,无,70年,83万,14562元/平米,城关区 火车站 ,
692,2室2厅1厨1卫,高楼层 (共16层),102.1㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,两梯八户,有,70年,140万,13713元/平米,安宁区 海关 ,
693,2室2厅1厨1卫,高楼层 (共26层),98.31㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯三户,有,70年,150万,15258元/平米,安宁区 罗马花园 ,
694,3室1厅1厨1卫,低楼层 (共8层),98.6㎡,平层,暂无数据,板楼,南 北,框架结构,其他,一梯两户,暂无数据,70年,135万,13692元/平米,城关区 西关南关 ,
695,3室2厅1厨2卫,高楼层 (共27层),145.33㎡,平层,暂无数据,板楼,东北,框架结构,简装,两梯六户,有,70年,190万,13074元/平米,城关区 大润发 ,
696,3室2厅1厨2卫,高楼层 (共12层),148㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,无,70年,255万,17230元/平米,城关区 北面滩 ,
697,3室1厅1厨2卫,高楼层 (共6层),75.5㎡,平层,暂无数据,暂无数据,南 北,未知结构,其他,一梯两户,无,70年,102万,13510元/平米,城关区 大润发 ,
698,2室1厅1厨1卫,高楼层 (共9层),73.09㎡,平层,暂无数据,板楼,东南,框架结构,其他,一梯四户,无,70年,83万,11356元/平米,七里河区 七里河区 ,
699,2室1厅1厨1卫,高楼层 (共8层),65㎡,平层,暂无数据,板楼,南,框架结构,简装,一梯三户,无,70年,67.5万,10385元/平米,城关区 二热 ,
700,4室2厅1厨2卫,高楼层 (共33层),148.17㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,70年,240万,16198元/平米,安宁区 海关 ,
701,2室2厅1厨1卫,高楼层 (共26层),91㎡,平层,暂无数据,板楼,南,混合结构,精装,两梯四户,有,70年,80万,8792元/平米,城关区 九州 ,
702,3室1厅1厨1卫,高楼层 (共6层),68.05㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,无,70年,86万,12638元/平米,西固区 西固区 ,
703,3室2厅1厨2卫,高楼层 (共26层),136㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,70年,142万,10442元/平米,城关区 碧桂园 ,
704,3室2厅1厨1卫,中楼层 (共26层),107㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,70年,106万,9907元/平米,城关区 碧桂园 ,
705,2室2厅1厨2卫,低楼层 (共33层),114㎡,平层,暂无数据,板塔结合,南,混合结构,精装,两梯六户,有,70年,216万,18948元/平米,城关区 兰大盘旋路 ,
706,3室2厅1厨1卫,低楼层 (共30层),99㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,70年,101万,10203元/平米,城关区 碧桂园 ,
707,3室2厅1厨2卫,高楼层 (共16层),138㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,70年,195万,14131元/平米,安宁区 安宁庭院 ,
708,4室2厅1厨2卫,中楼层 (共28层),200㎡,平层,暂无数据,板塔结合,南 北,框架结构,精装,两梯两户,有,70年,350万,17500元/平米,安宁区 安宁区 ,
709,3室2厅1厨1卫,低楼层 (共7层),100㎡,平层,暂无数据,板塔结合,南,砖混结构,精装,一梯三户,无,70年,125万,12500元/平米,城关区 雁滩高新区 ,
710,1室1厅1厨1卫,中楼层 (共13层),49.93㎡,平层,暂无数据,板楼,南,框架结构,精装,九梯三户,有,70年,68万,13620元/平米,城关区 五泉广场 ,
711,2室1厅1厨1卫,中楼层 (共11层),99.87㎡,平层,暂无数据,板楼,西北,框架结构,精装,一梯四户,有,70年,104万,10414元/平米,西固区 西固区 ,
712,2室1厅1厨1卫,中楼层 (共7层),71㎡,平层,暂无数据,板楼,东 西,框架结构,简装,一梯两户,无,70年,63万,8874元/平米,城关区 九州 ,
713,2室1厅1厨1卫,中楼层 (共6层),71.63㎡,平层,暂无数据,板楼,南 北,框架结构,精装,一梯四户,无,70年,72万,10052元/平米,城关区 九州 ,
714,2室2厅1厨2卫,低楼层 (共10层),145.9㎡,平层,暂无数据,板楼,南 北,钢结构,简装,一梯两户,有,70年,220万,15079元/平米,城关区 西关南关 ,
715,2室2厅1厨1卫,高楼层 (共7层),82㎡,平层,暂无数据,板塔结合,东 西,砖混结构,精装,一梯两户,无,50年,66万,8049元/平米,城关区 九州 ,
716,2室1厅1厨1卫,低楼层 (共6层),85.5㎡,平层,暂无数据,板楼,南 北,框架结构,简装,一梯两户,无,70年,72万,8422元/平米,城关区 九州 ,
717,2室1厅1厨1卫,高楼层 (共15层),61.84㎡,平层,暂无数据,板楼,西,砖混结构,简装,两梯四户,有,70年,92万,14878元/平米,城关区 西关南关 ,
718,3室2厅1厨1卫,高楼层 (共8层),84㎡,平层,暂无数据,板楼,南 北,框架结构,简装,一梯两户,无,70年,160万,19048元/平米,城关区 五泉广场 ,
719,3室2厅1厨2卫,中楼层 (共8层),145㎡,平层,暂无数据,板楼,东 西,框架结构,简装,一梯两户,无,70年,168万,11587元/平米,城关区 五泉广场 ,
720,3室2厅1厨1卫,高楼层 (共25层),124.25㎡,平层,暂无数据,板楼,南,框架结构,精装,一梯四户,无,70年,158万,12717元/平米,西固区 西固区 ,
721,3室1厅1厨1卫,中楼层 (共5层),67㎡,平层,暂无数据,板楼,东 西,砖混结构,毛坯,一梯三户,无,70年,95万,14180元/平米,西固区 西固区 ,
722,3室1厅1厨1卫,高楼层 (共5层),61㎡,平层,暂无数据,板楼,南 北,框架结构,简装,一梯两户,无,70年,93万,15246元/平米,西固区 西固区 ,
723,3室2厅1厨1卫,高楼层 (共26层),100.61㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯四户,有,70年,110万,10934元/平米,城关区 碧桂园 ,
724,2室1厅1厨1卫,高楼层 (共18层),118㎡,平层,暂无数据,板楼,南 北,框架结构,精装,一梯四户,有,70年,135万,11441元/平米,西固区 西固区 ,
725,2室1厅1厨1卫,低楼层 (共6层),74㎡,平层,暂无数据,板楼,南 北,框架结构,简装,一梯两户,无,70年,110万,14865元/平米,城关区 九州 ,
726,3室1厅1厨1卫,中楼层 (共12层),113.5㎡,平层,暂无数据,板楼,南 西,框架结构,精装,一梯四户,无,70年,117万,10309元/平米,西固区 西固区 ,
727,3室2厅1厨2卫,高楼层 (共30层),139.8㎡,平层,暂无数据,板楼,南 北,框架结构,毛坯,两梯四户,有,70年,154万,11016元/平米,西固区 西固区 ,
728,2室2厅1厨2卫,中楼层 (共7层),116㎡,平层,暂无数据,板塔结合,南,框架结构,精装,一梯三户,无,70年,175万,15087元/平米,城关区 北面滩 ,
729,2室2厅1厨1卫,高楼层 (共6层),98.3㎡,平层,暂无数据,暂无数据,南,未知结构,简装,一梯三户,无,70年,102万,10377元/平米,西固区 西固区 ,
730,3室1厅1厨1卫,高楼层 (共30层),139.8㎡,平层,暂无数据,板楼,南 北,框架结构,精装,两梯四户,有,70年,160万,11445元/平米,西固区 西固区 ,
731,2室2厅1厨1卫,高楼层 (共24层),93㎡,平层,暂无数据,板楼,南,框架结构,精装,两梯八户,有,70年,114万,12259元/平米,西固区 西固区 ,
732,2室2厅1厨1卫,低楼层 (共8层),89㎡,平层,暂无数据,板楼,东 西,框架结构,简装,一梯两户,无,70年,103万,11574元/平米,西固区 西固区 ,
733,3室2厅1厨2卫,低楼层 (共6层),126㎡,平层,暂无数据,板楼,南 北,框架结构,精装,一梯两户,无,70年,220万,17461元/平米,城关区 大润发 ,
734,3室2厅1厨2卫,低楼层 (共30层),125㎡,平层,暂无数据,暂无数据,南,未知结构,精装,一梯三户,无,70年,150万,12000元/平米,西固区 西固区 ,
735,3室1厅1厨1卫,高楼层 (共7层),73㎡,平层,暂无数据,板楼,东 西,框架结构,简装,一梯三户,无,70年,110万,15069元/平米,七里河区 建工局 ,
736,3室2厅1厨1卫,高楼层 (共6层),91.6㎡,平层,暂无数据,暂无数据,南 北,未知结构,简装,一梯三户,无,70年,80万,8734元/平米,城关区 九州 ,
737,2室2厅1厨1卫,高楼层 (共26层),92.57㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,70年,96万,10371元/平米,城关区 碧桂园 ,
738,2室2厅1厨1卫,高楼层 (共7层),86㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,无,50年,62万,7210元/平米,城关区 九州 ,
739,2室1厅1厨1卫,低楼层 (共6层),78㎡,平层,暂无数据,板塔结合,南 北,砖混结构,精装,一梯三户,无,70年,70万,8975元/平米,城关区 九州 ,
740,3室2厅1厨1卫,中楼层 (共9层),115.44㎡,平层,暂无数据,板楼,东南,框架结构,简装,一梯两户,无,70年,118万,10222元/平米,城关区 大润发 ,
741,2室1厅1厨1卫,中楼层 (共31层),66㎡,平层,暂无数据,板楼,南,框架结构,精装,两梯五户,有,70年,75.9万,11500元/平米,城关区 九州 ,
742,3室2厅1厨2卫,中楼层 (共33层),128.89㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯五户,有,70年,252万,19552元/平米,安宁区 罗马花园 ,
743,3室2厅1厨2卫,高楼层 (共8层),132㎡,平层,暂无数据,板楼,南,框架结构,精装,一梯两户,无,70年,135万,10228元/平米,西固区 西固区 ,
744,2室2厅1厨1卫,高楼层 (共8层),94.78㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,一梯两户,无,70年,124万,13083元/平米,城关区 五泉广场 ,
745,2室2厅1厨1卫,中楼层 (共23层),93㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,70年,92万,9893元/平米,城关区 九州 ,
746,2室1厅1厨1卫,低楼层 (共9层),75.57㎡,平层,暂无数据,板楼,东 西,框架结构,简装,一梯四户,无,70年,75万,9925元/平米,西固区 西固区 ,
747,2室1厅1厨1卫,高楼层 (共18层),100.8㎡,平层,暂无数据,板楼,南 西,框架结构,精装,一梯十三户,有,70年,102万,10120元/平米,城关区 九州 ,
748,2室4厅1厨1卫,中楼层 (共18层),131㎡,平层,暂无数据,板楼,南 北,框架结构,精装,一梯四户,无,70年,108万,8245元/平米,七里河区 五泉广场 ,
749,2室1厅1厨1卫,中楼层 (共6层),61.3㎡,平层,暂无数据,板塔结合,西,砖混结构,简装,一梯三户,无,70年,49.8万,8124元/平米,城关区 九州 ,
750,2室1厅1厨1卫,高楼层 (共18层),89㎡,平层,暂无数据,板楼,东,框架结构,简装,两梯十户,有,70年,98万,11012元/平米,城关区 九州 ,
751,2室1厅1厨1卫,高楼层 (共6层),70.28㎡,平层,暂无数据,板塔结合,南 北,砖混结构,精装,一梯三户,无,70年,62万,8822元/平米,城关区 九州 ,
752,2室2厅1厨1卫,中楼层 (共8层),63.5㎡,平层,暂无数据,板楼,东 西,框架结构,简装,一梯两户,无,70年,77万,12126元/平米,西固区 西固区 ,
753,3室2厅1厨1卫,中楼层 (共26层),99.38㎡,平层,75.61㎡,板楼,南,钢混结构,精装,两梯三户,有,70年,115万,11572元/平米,城关区 碧桂园 ,
754,3室2厅1厨2卫,低楼层 (共19层),192.8㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,70年,415万,21525元/平米,城关区 东方红广场 ,
755,2室1厅1厨1卫,高楼层 (共6层),65㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,无,70年,63万,9693元/平米,城关区 二热 ,
756,2室1厅1厨1卫,低楼层 (共7层),70.73㎡,平层,暂无数据,板楼,南 北,框架结构,简装,一梯四户,无,70年,60万,8483元/平米,城关区 九州 ,
757,2室2厅1厨1卫,低楼层 (共24层),93㎡,平层,暂无数据,板楼,东南,框架结构,简装,两梯八户,有,70年,109万,11721元/平米,西固区 西固区 ,
758,3室2厅1厨2卫,低楼层 (共31层),113㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,70年,156万,13806元/平米,安宁区 海关 ,
759,3室2厅1厨1卫,高楼层 (共18层),117㎡,平层,暂无数据,板塔结合,西 南,框架结构,精装,两梯十户,有,70年,117万,10000元/平米,城关区 九州 ,
760,3室2厅1厨1卫,低楼层 (共24层),106㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,70年,100万,9434元/平米,城关区 碧桂园 ,
761,3室2厅1厨1卫,中楼层 (共30层),100.36㎡,平层,77.6㎡,板楼,南 北,钢混结构,精装,两梯四户,有,70年,110万,10961元/平米,城关区 碧桂园 ,
762,4室2厅1厨2卫,低楼层 (共33层),173.17㎡,平层,暂无数据,塔楼,南 北,框架结构,简装,一梯四户,有,70年,210万,12127元/平米,城关区 雁滩高新区 ,
763,2室1厅1厨1卫,中楼层 (共25层),94㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯四户,无,70年,96万,10213元/平米,城关区 九州 ,
764,3室2厅1厨1卫,中楼层 (共12层),133.38㎡,平层,暂无数据,暂无数据,南,未知结构,精装,一梯四户,无,70年,155万,11621元/平米,安宁区 费家营十子 ,
765,3室2厅1厨2卫,高楼层 (共29层),145㎡,平层,暂无数据,暂无数据,东 北,未知结构,精装,一梯八户,暂无数据,70年,148万,10207元/平米,西固区 西固区 ,
766,4室1厅1厨1卫,高楼层 (共10层),102㎡,平层,暂无数据,板楼,东 西,框架结构,简装,一梯两户,无,70年,93万,9118元/平米,西固区 西固区 ,
767,3室2厅1厨2卫,高楼层 (共18层),131㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,70年,135万,10306元/平米,城关区 碧桂园 ,
768,2室2厅1厨1卫,中楼层 (共26层),80.46㎡,平层,59㎡,板楼,南 西,钢混结构,精装,三梯八户,有,70年,85万,10565元/平米,城关区 碧桂园 ,
769,3室1厅1厨1卫,中楼层 (共9层),88㎡,平层,暂无数据,板楼,西 东,框架结构,精装,一梯两户,无,70年,89万,10114元/平米,城关区 九州 ,
770,2室2厅1厨1卫,中楼层 (共26层),82㎡,平层,暂无数据,板楼,南,钢混结构,精装,三梯八户,有,70年,83万,10122元/平米,城关区 碧桂园 ,
771,3室2厅1厨1卫,中楼层 (共9层),121㎡,平层,暂无数据,暂无数据,南 北,未知结构,简装,一梯三户,无,70年,128万,10579元/平米,安宁区 交大 ,
772,4室2厅1厨2卫,高楼层 (共6层),210㎡,复式,暂无数据,板塔结合,南 北,砖混结构,精装,两梯两户,有,70年,266万,12667元/平米,安宁区 海关 ,
773,2室2厅1厨1卫,中楼层 (共26层),79.4㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯五户,有,70年,90万,11336元/平米,城关区 九州 ,
