,Type,Floor,Area,Structure,Inarea,Architectural_type,Orientation,Building_structure,Situation,Ratio,Elevator,Years,Price,PerPrice,Region,No,No,No
40,3室2厅1厨2卫,中楼层 (共11层),142.56,平层,暂无数据,板楼,东 西,框架结构,精装,一梯两户,有,70年,140,9821,西固区,,,
41,2室2厅1厨1卫,高楼层 (共8层),79,平层,暂无数据,板塔结合,东 西,框架结构,精装,一梯两户,无,70年,92,11646,西固区,,,
42,3室2厅1厨1卫,低楼层 (共26层),114,平层,114㎡,板楼,南 北,框架结构,精装,两梯三户,有,70年,114,10000,城关区,,,
43,2室1厅1厨1卫,高楼层 (共8层),71.98,平层,61.76㎡,板塔结合,西 东,框架结构,简装,一梯三户,无,70年,73.9,10267,城关区,,,
44,2室0厅1厨1卫,中楼层 (共8层),41.73,平层,暂无数据,塔楼,东 西,框架结构,简装,一梯三户,无,70年,125,29955,城关区,,,
45,2室2厅1厨1卫,低楼层 (共26层),94.25,平层,67.58㎡,板楼,南 北,钢混结构,精装,两梯四户,有,70年,136,14430,城关区,,,
46,2室2厅1厨1卫,低楼层 (共9层),92.76,平层,80.43㎡,板楼,南,钢混结构,简装,两梯三户,有,70年,130,14015,安宁区,,,
47,2室1厅1厨1卫,高楼层 (共6层),57.19,平层,暂无数据,板塔结合,南 北,混合结构,简装,一梯三户,无,70年,110,19235,城关区,,,
48,4室2厅1厨2卫,低楼层 (共30层),153,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,70年,198,12942,城关区,,,
49,4室2厅1厨3卫,高楼层 (共25层),180,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,70年,188,10445,城关区,,,
50,5室2厅1厨3卫,高楼层 (共23层),340,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯两户,有,70年,340,10000,城关区,,,
51,2室2厅1厨1卫,高楼层 (共18层),94.5,平层,暂无数据,板楼,东 西,框架结构,简装,一梯三户,有,70年,116,12276,城关区,,,
52,2室2厅1厨1卫,中楼层 (共18层),104,平层,84.53㎡,板楼,南 北,钢混结构,简装,一梯三户,无,70年,198,19039,城关区,,,
53,1室1厅1厨1卫,中楼层 (共6层),23.98,平层,23.98㎡,板塔结合,南,砖混结构,简装,一梯四户,无,70年,60,25021,城关区,,,
54,2室2厅1厨1卫,高楼层 (共12层),75.84,平层,63.57㎡,塔楼,东南,框架结构,简装,一梯三户,有,70年,83.5,11011,城关区,,,
55,2室1厅1厨1卫,低楼层 (共9层),72.55,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,无,70年,74.9,10324,安宁区,,,
56,2室1厅1厨1卫,中楼层 (共6层),53,平层,暂无数据,暂无数据,南 北,未知结构,毛坯,一梯三户,暂无数据,70年,64,12076,七里河区,,,
57,3室2厅1厨2卫,低楼层 (共18层),126.59,平层,97.49㎡,板楼,南 北,钢混结构,精装,两梯两户,有,70年,200,15800,城关区,,,
58,2室2厅1厨1卫,高楼层 (共7层),80.51,平层,73.75㎡,板楼,南 北,框架结构,精装,一梯两户,无,70年,94,11676,城关区,,,
59,3室2厅1厨2卫,高楼层 (共9层),144.06,平层,144.06㎡,板楼,南 北,钢混结构,简装,一梯两户,无,70年,170,11801,七里河区,,,
60,3室2厅1厨1卫,中楼层 (共6层),129.3,平层,109.15㎡,板楼,南 北,钢混结构,精装,一梯三户,无,70年,144,11137,城关区,,,
61,3室2厅1厨1卫,中楼层 (共28层),147.21,平层,115.96㎡,平房,南 北,框架结构,精装,一梯四户,有,70年,196,13315,城关区,,,
62,3室2厅1厨1卫,中楼层 (共8层),148.6,平层,119.58㎡,板楼,南 北,框架结构,简装,一梯两户,无,70年,185,12450,城关区,,,
63,3室2厅1厨2卫,低楼层 (共33层),115.84,平层,94.73㎡,板塔结合,东南,钢混结构,精装,两梯四户,有,70年,162,13985,城关区,,,
64,4室2厅1厨2卫,高楼层 (共18层),137.45,平层,109.49㎡,板楼,南 北,钢混结构,精装,两梯两户,有,70年,174,12660,安宁区,,,
65,2室1厅1厨1卫,高楼层 (共9层),95,平层,73.3㎡,板楼,东 西,框架结构,精装,一梯三户,无,70年,155,16316,城关区,,,
66,2室1厅1厨1卫,中楼层 (共8层),70.42,平层,58.15㎡,板楼,南 北,框架结构,精装,一梯两户,无,70年,86,12213,城关区,,,
67,3室2厅1厨2卫,中楼层 (共17层),159.77,平层,129.81㎡,板塔结合,南 北,框架结构,简装,一梯三户,有,70年,248,15523,城关区,,,
68,3室2厅1厨1卫,中楼层 (共12层),140.83,平层,119.64㎡,板楼,南 北,框架结构,简装,一梯两户,无,70年,215,15267,城关区,,,
69,2室2厅1厨1卫,中楼层 (共6层),47,平层,暂无数据,板楼,南 西 北,砖混结构,简装,一梯三户,暂无数据,70年,66,14043,城关区,,,
70,3室2厅1厨1卫,高楼层 (共8层),82,平层,暂无数据,板楼,南 北,框架结构,精装,一梯两户,无,70年,150,18293,城关区,,,
71,2室1厅1厨1卫,中楼层 (共7层),66,平层,暂无数据,板楼,南 北,框架结构,简装,一梯三户,无,70年,75.8,11485,城关区,,,
72,2室1厅1厨1卫,低楼层 (共18层),62.37,平层,暂无数据,板楼,南,框架结构,精装,两梯七户,有,70年,146,23409,城关区,,,
73,3室2厅1厨2卫,高楼层 (共30层),136.45,平层,104.86㎡,板楼,南 北,框架结构,精装,两梯三户,有,70年,135,9894,城关区,,,
74,3室2厅1厨2卫,低楼层 (共26层),136.57,平层,104㎡,板楼,南 北,钢混结构,精装,两梯三户,有,70年,137,10032,城关区,,,
75,4室2厅1厨2卫,高楼层 (共25层),180.71,平层,135.99㎡,板楼,南 北,钢混结构,精装,两梯两户,有,70年,216,11953,城关区,,,
76,3室2厅1厨2卫,低楼层 (共26层),148.3,平层,112.67㎡,板楼,南,框架结构,精装,两梯三户,有,70年,190,12812,城关区,,,
77,2室1厅1厨1卫,低楼层 (共32层),68.58,平层,56.41㎡,板楼,南,框架结构,精装,两梯七户,有,70年,89,12978,城关区,,,
78,2室2厅1厨1卫,中楼层 (共8层),96.44,平层,79.47㎡,板楼,南 北,框架结构,精装,一梯两户,有,70年,133,13791,城关区,,,
79,3室1厅1厨1卫,中楼层 (共8层),115.68,平层,暂无数据,板楼,南 北,框架结构,精装,一梯两户,无,50年,138,11930,城关区,,,
80,3室2厅1厨2卫,高楼层 (共25层),136.41,平层,暂无数据,板楼,南 北,框架结构,简装,两梯四户,有,70年,195,14296,安宁区,,,
81,2室1厅1厨1卫,高楼层 (共7层),47,平层,暂无数据,板楼,南 北,框架结构,简装,一梯三户,无,70年,65,13830,西固区,,,
82,2室2厅1厨1卫,低楼层 (共30层),82.22,平层,66.31㎡,板楼,南,钢混结构,精装,两梯四户,有,70年,104.9,12759,安宁区,,,
83,1室0厅1厨1卫,高楼层 (共25层),40.67,平层,33.34㎡,塔楼,北,钢混结构,简装,一梯十一户,无,70年,71.9,17679,城关区,,,
84,3室2厅1厨2卫,高楼层 (共27层),110.62,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,有,70年,103,9312,城关区,,,
85,1室1厅1厨1卫,中楼层 (共25层),58,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯八户,有,70年,60,10345,城关区,,,
86,3室2厅1厨2卫,低楼层 (共26层),136,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,70年,136,10000,城关区,,,
87,2室2厅1厨1卫,低楼层 (共25层),75.52,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯八户,有,70年,66,8740,城关区,,,
88,3室2厅1厨1卫,低楼层 (共24层),106.27,平层,77.74㎡,板楼,南,钢混结构,精装,两梯三户,有,70年,110,10351,城关区,,,
89,4室2厅1厨2卫,低楼层 (共18层),140,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,70年,133,9500,城关区,,,
90,3室2厅1厨1卫,中楼层 (共26层),100.26,平层,77.46㎡,塔楼,南 北,框架结构,精装,两梯四户,有,70年,104,10374,城关区,,,
91,3室2厅1厨2卫,中楼层 (共6层),125.65,平层,暂无数据,板楼,南 北,框架结构,简装,一梯两户,无,70年,215,17112,城关区,,,
92,3室2厅1厨1卫,高楼层 (共29层),102.22,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,70年,108,10566,城关区,,,
