房屋户型	所在楼层	建筑面积	户型结构	套内面积	建筑类型	房屋朝向	建筑结构	装修情况	梯户比例	配备电梯	产权年限	房屋总价	每平米售价	房屋地区
3室2厅1厨2卫	低楼层 (共18层)	127.8㎡	平层	暂无数据	板塔结合	南 北	框架结构	精装	两梯两户	有	70年	166万	12990元/平米	城关区 碧桂园 	
2室2厅1厨1卫	低楼层 (共9层)	98.34㎡	平层	暂无数据	板楼	南 北	钢混结构	简装	一梯两户	无	70年	94万	9559元/平米	城关区 北面滩 	
2室2厅1厨1卫	中楼层 (共28层)	106.54㎡	平层	92.12㎡	板楼	南	钢混结构	精装	两梯四户	有	70年	147万	13798元/平米	安宁区 海关 	
1室1厅1厨1卫	低楼层 (共8层)	48.19㎡	平层	42.03㎡	板楼	东	框架结构	简装	一梯四户	无	70年	61万	12659元/平米	城关区 雁滩高新区 	
4室2厅1厨3卫	高楼层 (共6层)	162㎡	复式	142.54㎡	板楼	南 北	框架结构	精装	一梯两户	无	70年	268万	16544元/平米	城关区 大润发 	
2室2厅1厨1卫	低楼层 (共9层)	97.19㎡	平层	85.88㎡	板楼	南 北	框架结构	简装	一梯两户	有	70年	130万	13376元/平米	城关区 东部 	
3室2厅1厨2卫	高楼层 (共26层)	143㎡	平层	暂无数据	板楼	南 北	钢混结构	精装	两梯三户	有	70年	140万	9791元/平米	城关区 碧桂园 	
2室1厅1厨1卫	中楼层 (共8层)	81.58㎡	平层	69.56㎡	暂无数据	南 北	未知结构	简装	一梯三户	无	70年	81万	9929元/平米	西固区 西固区 	
2室1厅1厨1卫	低楼层 (共27层)	97.36㎡	平层	77.36㎡	塔楼	东南	框架结构	简装	两梯六户	有	70年	120万	12326元/平米	城关区 雁滩高新区 	
2室2厅1厨1卫	低楼层 (共25层)	107.05㎡	平层	暂无数据	板楼	南	框架结构	精装	两梯四户	有	70年	144万	13452元/平米	安宁区 海关 	
2室2厅1厨1卫	低楼层 (共25层)	107.05㎡	平层	90.94㎡	板楼	南	框架结构	精装	两梯四户	有	70年	149万	13919元/平米	安宁区 海关 	
2室2厅1厨1卫	低楼层 (共25层)	90.59㎡	平层	暂无数据	板楼	南	钢混结构	精装	两梯四户	有	70年	129.8万	14329元/平米	安宁区 海关 	
2室2厅1厨1卫	中楼层 (共9层)	83.58㎡	平层	73.29㎡	暂无数据	东 西	未知结构	简装	一梯两户	无	70年	80万	9572元/平米	城关区 九州 	
2室2厅1厨1卫	低楼层 (共26层)	84.67㎡	平层	62.85㎡	板楼	南	钢混结构	精装	三梯八户	有	70年	86万	10158元/平米	城关区 碧桂园 	
2室1厅1厨1卫	中楼层 (共7层)	55㎡	平层	暂无数据	板楼	南 北	砖混结构	简装	一梯两户	无	70年	85万	15455元/平米	城关区 火车站 	
3室1厅1厨0卫	中楼层 (共7层)	80㎡	平层	69.26㎡	板楼	东 西	砖混结构	简装	一梯三户	无	70年	98万	12250元/平米	城关区 西关南关 	
