房屋户型	所在楼层	建筑面积	户型结构	套内面积	建筑类型	房屋朝向	建筑结构	装修情况	梯户比例	配备电梯	产权年限	房屋总价	每平米售价	房屋地区
2室1厅1厨1卫	中楼层 (共11层)	90.3㎡	平层	暂无数据	板楼	西	框架结构	简装	一梯三户	无	70年	160万	17719元/平米	七里河区 西站 	
4室2厅1厨2卫	高楼层 (共26层)	148㎡	平层	暂无数据	板楼	南 北	钢混结构	精装	两梯三户	有	70年	140万	9460元/平米	城关区 碧桂园 	
4室2厅1厨2卫	高楼层 (共25层)	180㎡	平层	暂无数据	板楼	南 北	钢混结构	毛坯	两梯两户	有	70年	178万	9889元/平米	城关区 碧桂园 	
3室1厅1厨1卫	高楼层 (共33层)	95.48㎡	平层	暂无数据	板塔结合	东 西	框架结构	精装	两梯五户	有	70年	83万	8693元/平米	城关区 九州 	
4室2厅1厨3卫	低楼层 (共25层)	178.78㎡	平层	暂无数据	板楼	南 北	钢混结构	精装	两梯两户	有	70年	295万	16501元/平米	城关区 碧桂园 	
4室2厅1厨2卫	高楼层 (共25层)	180㎡	平层	暂无数据	板楼	南 北	钢混结构	精装	两梯两户	有	70年	202万	11223元/平米	城关区 碧桂园 	
3室2厅1厨2卫	低楼层 (共7层)	135.45㎡	平层	暂无数据	板楼	南 北	框架结构	简装	一梯两户	无	70年	115万	8491元/平米	城关区 九州 	
3室2厅1厨2卫	中楼层 (共26层)	148㎡	平层	暂无数据	板楼	南 北	框架结构	精装	两梯三户	有	70年	137万	9257元/平米	城关区 碧桂园 	
3室2厅1厨2卫	低楼层 (共31层)	136㎡	平层	暂无数据	板塔结合	南 北	钢混结构	精装	两梯三户	有	70年	132万	9706元/平米	城关区 碧桂园 	
3室2厅1厨2卫	低楼层 (共18层)	131㎡	平层	暂无数据	板楼	南 北	钢混结构	简装	两梯两户	有	70年	138万	10535元/平米	城关区 碧桂园 	
3室2厅1厨2卫	中楼层 (共34层)	138㎡	平层	暂无数据	暂无数据	南 北	未知结构	毛坯	两梯三户	有	70年	145万	10508元/平米	城关区 碧桂园 	
5室2厅1厨5卫	低楼层 (共3层)	248.5㎡	暂无数据	南 北	钢混结构	毛坯	联排	70年	210万	8451元/平米	皋兰县  	
4室2厅1厨2卫	高楼层 (共18层)	141㎡	平层	暂无数据	板楼	南 北	钢混结构	精装	两梯两户	有	70年	155万	10993元/平米	城关区 碧桂园 	
3室2厅1厨2卫	高楼层 (共26层)	148.54㎡	平层	暂无数据	板楼	南 北	钢混结构	精装	两梯三户	有	70年	155万	10435元/平米	城关区 碧桂园 	
3室2厅1厨2卫	中楼层 (共33层)	139㎡	平层	暂无数据	板楼	南 北	框架结构	毛坯	两梯三户	有	70年	146万	10504元/平米	城关区 碧桂园 	
3室2厅1厨1卫	中楼层 (共29层)	113㎡	平层	暂无数据	板楼	南 北	钢混结构	精装	两梯三户	有	70年	120万	10620元/平米	城关区 碧桂园 	
3室2厅1厨1卫	中楼层 (共24层)	105㎡	平层	暂无数据	板楼	南 北	钢混结构	精装	两梯三户	有	70年	118万	11239元/平米	城关区 碧桂园 	
3室2厅1厨2卫	中楼层 (共30层)	135㎡	平层	暂无数据	板楼	南 北	钢混结构	精装	两梯三户	有	70年	144.2万	10682元/平米	城关区 碧桂园 	
3室2厅1厨2卫	低楼层 (共31层)	142㎡	平层	暂无数据	板楼	南 北	框架结构	精装	两梯三户	有	70年	173万	12184元/平米	城关区 九州 	
2室2厅1厨1卫	高楼层 (共7层)	81.93㎡	平层	暂无数据	板楼	南 北	混合结构	简装	一梯两户	无	70年	63万	7690元/平米	城关区 九州 	
4室2厅1厨2卫	低楼层 (共30层)	151㎡	平层	暂无数据	板楼	南 北	钢混结构	精装	两梯三户	有	70年	138万	9140元/平米	城关区 碧桂园 	
3室2厅1厨2卫	中楼层 (共26层)	106㎡	平层	暂无数据	板楼	南 北	钢混结构	精装	两梯三户	有	70年	120万	11321元/平米	城关区 碧桂园 	
3室2厅1厨1卫	高楼层 (共7层)	113.81㎡	平层	暂无数据	板楼	南 北	框架结构	精装	一梯两户	暂无数据	70年	107万	9402元/平米	城关区 九州 	
3室2厅1厨2卫	高楼层 (共31层)	142㎡	平层	暂无数据	板塔结合	南 北	钢混结构	简装	两梯三户	有	70年	142万	10000元/平米	城关区 碧桂园 	
3室2厅1厨2卫	高楼层 (共27层)	110㎡	平层	暂无数据	板楼	南 北	框架结构	毛坯	两梯四户	有	70年	105万	9546元/平米	城关区 碧桂园 	
4室2厅1厨2卫	中楼层 (共25层)	180㎡	平层	暂无数据	板楼	南 北	钢混结构	毛坯	两梯两户	有	70年	162万	9000元/平米	城关区 碧桂园 	
2室1厅1厨1卫	中楼层 (共7层)	80㎡	平层	61㎡	板楼	南 北	钢混结构	简装	一梯两户	无	70年	84万	10500元/平米	城关区 北面滩 	
2室1厅1厨1卫	高楼层 (共7层)	85㎡	平层	61㎡	板楼	南 北	钢混结构	简装	一梯两户	无	70年	83万	9765元/平米	城关区 北面滩 	
3室2厅1厨2卫	低楼层 (共24层)	155.62㎡	平层	119.7㎡	板塔结合	西南	钢混结构	精装	两梯六户	有	70年	198万	12724元/平米	城关区 兰大盘旋路 	
3室2厅2厨1卫	中楼层 (共24层)	127.51㎡	平层	101.87㎡	板楼	东南	框架结构	精装	两梯六户	有	70年	158万	12392元/平米	城关区 北面滩 	
3室2厅1厨1卫	高楼层 (共26层)	128.49㎡	平层	暂无数据	板楼	西南	钢混结构	简装	两梯六户	有	70年	235万	18290元/平米	城关区 兰大盘旋路 	
1室1厅1厨1卫	高楼层 (共6层)	43㎡	平层	暂无数据	板楼	南	混合结构	简装	一梯三户	无	70年	47万	10931元/平米	城关区 火车站 	
2室2厅1厨2卫	低楼层 (共19层)	121㎡	平层	120.7㎡	板楼	南	框架结构	精装	一梯三户	有	70年	150万	12397元/平米	城关区 大润发 	
2室1厅1厨1卫	高楼层 (共7层)	50.13㎡	平层	暂无数据	板楼	东	混合结构	简装	一梯三户	无	70年	68万	13565元/平米	城关区 西关南关 	
2室2厅1厨1卫	低楼层 (共8层)	85.63㎡	平层	暂无数据	板楼	南 北	钢混结构	简装	一梯两户	无	70年	106万	12379元/平米	七里河区 仁恒美林郡 	
1室1厅1厨1卫	低楼层 (共8层)	55.62㎡	平层	暂无数据	板楼	西	框架结构	简装	一梯三户	无	70年	72万	12945元/平米	七里河区 仁恒美林郡 	
2室2厅1厨1卫	低楼层 (共7层)	84.63㎡	平层	暂无数据	板楼	南 北	框架结构	精装	一梯两户	无	70年	84万	9926元/平米	城关区 九州 	
2室1厅1厨1卫	高楼层 (共6层)	54㎡	平层	暂无数据	板楼	北	框架结构	简装	一梯四户	暂无数据	70年	50万	9260元/平米	城关区 火车站 	
1室1厅1厨1卫	低楼层 (共28层)	65.78㎡	平层	暂无数据	板塔结合	南	钢混结构	简装	两梯八户	有	70年	65万	9882元/平米	西固区 西固区 	
2室2厅1厨1卫	低楼层 (共6层)	103.39㎡	平层	暂无数据	板楼	南 北	框架结构	精装	一梯两户	无	70年	137万	13251元/平米	城关区 北面滩 	
2室1厅1厨1卫	高楼层 (共25层)	109.97㎡	平层	暂无数据	板楼	南	框架结构	简装	两梯八户	有	70年	128万	11640元/平米	城关区 雁滩高新区 	
2室1厅1厨1卫	中楼层 (共6层)	79㎡	平层	暂无数据	暂无数据	南	未知结构	简装	一梯三户	暂无数据	70年	71万	8988元/平米	城关区 九州 	
1室1厅1厨1卫	低楼层 (共25层)	53㎡	平层	暂无数据	板楼	南	钢混结构	毛坯	三梯八户	有	70年	59万	11133元/平米	城关区 碧桂园 	
2室1厅1厨1卫	高楼层 (共9层)	65㎡	平层	暂无数据	板楼	东 西	框架结构	精装	一梯四户	无	70年	78万	12000元/平米	西固区 西固区 	
2室2厅1厨1卫	高楼层 (共22层)	88.58㎡	平层	71.53㎡	板楼	南 北	钢混结构	精装	两梯十户	有	70年	126万	14225元/平米	城关区 雁滩高新区 	
3室1厅1厨1卫	中楼层 (共7层)	66.18㎡	平层	暂无数据	板楼	东 西	框架结构	精装	一梯三户	无	70年	82万	12391元/平米	城关区 北面滩 	
1室1厅1厨1卫	中楼层 (共30层)	52.82㎡	平层	37.4㎡	板楼	东北	钢混结构	精装	两梯十二户	有	70年	57.5万	10887元/平米	城关区 碧桂园 	
2室2厅1厨1卫	中楼层 (共33层)	96.67㎡	平层	78.77㎡	板楼	东南	钢混结构	简装	两梯五户	有	70年	149万	15414元/平米	安宁区 罗马花园 	
2室1厅1厨1卫	低楼层 (共26层)	79.48㎡	平层	58.72㎡	板楼	南	钢混结构	简装	三梯八户	有	70年	80万	10066元/平米	城关区 碧桂园 	
3室2厅1厨2卫	高楼层 (共6层)	145.33㎡	错层	130.93㎡	板楼	南 北	框架结构	精装	一梯两户	无	70年	230万	15827元/平米	城关区 北面滩 	
2室2厅1厨1卫	低楼层 (共28层)	107㎡	平层	暂无数据	板楼	南	框架结构	精装	一梯四户	有	70年	116万	10842元/平米	西固区 西固区 	
3室2厅1厨2卫	中楼层 (共19层)	191㎡	平层	暂无数据	塔楼	东 西 北	钢混结构	其他	两梯二十户	有	70年	218万	11414元/平米	城关区 火车站 	
3室2厅1厨2卫	低楼层 (共26层)	133.49㎡	平层	暂无数据	板楼	南 北	钢混结构	精装	两梯三户	有	70年	133万	9964元/平米	城关区 碧桂园 	
2室1厅1厨1卫	低楼层 (共26层)	84.67㎡	平层	暂无数据	板楼	南	钢混结构	精装	三梯八户	有	70年	83万	9803元/平米	城关区 碧桂园 	
3室2厅1厨2卫	低楼层 (共26层)	136㎡	平层	暂无数据	板楼	南 北	钢混结构	精装	两梯三户	有	70年	130万	9559元/平米	城关区 碧桂园 	
2室2厅1厨1卫	高楼层 (共26层)	92㎡	平层	暂无数据	板楼	南	钢混结构	精装	两梯三户	有	70年	93万	10107元/平米	城关区 碧桂园 	
3室2厅1厨1卫	低楼层 (共8层)	106.38㎡	平层	暂无数据	板楼	南 北	框架结构	精装	一梯两户	无	70年	132万	12409元/平米	城关区 西关南关 	
3室2厅1厨1卫	高楼层 (共27层)	97㎡	平层	暂无数据	板楼	南 北	钢混结构	精装	两梯四户	有	70年	103万	10619元/平米	城关区 碧桂园 	
3室1厅1厨1卫	高楼层 (共8层)	93.7㎡	平层	暂无数据	板楼	南 北	钢混结构	简装	一梯三户	无	70年	84万	8965元/平米	西固区 西固区 	
3室2厅1厨1卫	高楼层 (共24层)	106.27㎡	平层	暂无数据	板楼	南	钢混结构	简装	两梯三户	有	70年	105万	9881元/平米	城关区 碧桂园 	
4室2厅1厨2卫	高楼层 (共18层)	135㎡	平层	暂无数据	板楼	南 北	框架结构	简装	两梯两户	有	70年	222万	16445元/平米	安宁区 海关 	
2室2厅1厨1卫	低楼层 (共33层)	94.71㎡	平层	暂无数据	板塔结合	南	钢混结构	毛坯	两梯四户	有	70年	90万	9503元/平米	城关区 碧桂园 	
2室2厅1厨1卫	中楼层 (共33层)	96㎡	平层	暂无数据	板塔结合	南	钢混结构	毛坯	两梯四户	有	70年	107.6万	11209元/平米	城关区 碧桂园 	
2室1厅1厨1卫	高楼层 (共8层)	66㎡	平层	暂无数据	板楼	东	框架结构	简装	一梯一户	暂无数据	70年	54万	8182元/平米	城关区 九州 	
2室1厅1厨1卫	高楼层 (共7层)	76㎡	平层	暂无数据	板楼	东 南	框架结构	简装	一梯四户	无	70年	71万	9343元/平米	城关区 九州 	
2室1厅1厨1卫	中楼层 (共26层)	79.56㎡	平层	暂无数据	板塔结合	南	钢混结构	毛坯	两梯五户	有	70年	88万	11061元/平米	城关区 九州 	
5室3厅1厨2卫	高楼层 (共7层)	217.66㎡	复式	188.14㎡	板塔结合	东 西	钢混结构	简装	一梯两户	无	70年	185万	8500元/平米	安宁区 海关 	
2室2厅1厨1卫	中楼层 (共32层)	95.53㎡	平层	暂无数据	暂无数据	南	未知结构	毛坯	一梯四户	无	70年	95万	9945元/平米	七里河区 秀川 	
2室2厅1厨1卫	高楼层 (共22层)	96.42㎡	平层	暂无数据	板楼	西北	钢混结构	精装	一梯七户	有	70年	162万	16802元/平米	七里河区 仁恒美林郡 	
2室1厅1厨1卫	高楼层 (共7层)	61㎡	平层	暂无数据	暂无数据	东 西	未知结构	简装	一梯两户	暂无数据	70年	59万	9673元/平米	城关区 东方红广场 	
2室1厅1厨1卫	中楼层 (共8层)	92㎡	平层	暂无数据	板楼	南 北	钢混结构	毛坯	一梯两户	无	70年	98万	10653元/平米	城关区 火车站 	
2室1厅1厨1卫	高楼层 (共22层)	69.72㎡	平层	暂无数据	板楼	南	钢混结构	简装	两梯十户	有	70年	92万	13196元/平米	城关区 雁滩高新区 	
2室2厅1厨1卫	高楼层 (共11层)	110.96㎡	平层	暂无数据	板楼	南 北	钢混结构	简装	一梯三户	无	70年	150万	13519元/平米	城关区 北面滩 	
2室2厅1厨1卫	低楼层 (共33层)	93㎡	平层	暂无数据	板楼	东南	框架结构	毛坯	一梯五户	有	70年	160万	17205元/平米	城关区 雁滩高新区 	
3室1厅1厨1卫	高楼层 (共8层)	77㎡	平层	暂无数据	板塔结合	东 西	框架结构	简装	一梯三户	无	70年	89万	11559元/平米	城关区 大润发 	
2室1厅1厨1卫	低楼层 (共8层)	85.65㎡	平层	暂无数据	板塔结合	南 北	框架结构	简装	一梯两户	无	70年	80万	9341元/平米	城关区 大沙坪 	
2室2厅1厨1卫	高楼层 (共33层)	118㎡	平层	暂无数据	板塔结合	北	框架结构	简装	两梯八户	有	70年	149万	12628元/平米	七里河区 建工局 	
2室1厅1厨1卫	中楼层 (共8层)	53㎡	平层	暂无数据	板楼	东 西	未知结构	简装	一梯五户	无	70年	61万	11510元/平米	城关区 二热 	
2室1厅1厨1卫	高楼层 (共7层)	54㎡	平层	暂无数据	板楼	南	砖混结构	简装	一梯三户	无	70年	52万	9630元/平米	城关区 火车站 	
1室1厅1厨1卫	中楼层 (共8层)	47.9㎡	平层	暂无数据	板楼	南 北	框架结构	简装	一梯四户	无	70年	56.5万	11796元/平米	七里河区 七里河区 	
2室1厅1厨1卫	低楼层 (共32层)	91.3㎡	平层	暂无数据	暂无数据	南	未知结构	简装	两梯四户	有	70年	95万	10406元/平米	七里河区 秀川 	
2室2厅1厨1卫	高楼层 (共8层)	108㎡	平层	暂无数据	板楼	东北	框架结构	简装	一梯三户	无	70年	100万	9260元/平米	城关区 大润发 	
2室2厅1厨1卫	低楼层 (共30层)	87.9㎡	平层	暂无数据	板楼	南	钢混结构	精装	两梯四户	有	70年	92万	10467元/平米	城关区 碧桂园 	
2室2厅1厨1卫	低楼层 (共32层)	104㎡	平层	暂无数据	板楼	南	钢混结构	精装	一梯四户	无	70年	171万	16443元/平米	城关区 北面滩 	
1室0厅1厨1卫	低楼层 (共34层)	41.44㎡	平层	32.29㎡	板楼	南	钢混结构	精装	两梯九户	有	70年	63万	15203元/平米	城关区 五泉广场 	
3室2厅1厨2卫	低楼层 (共26层)	164㎡	平层	132.08㎡	板楼	南 北	钢混结构	毛坯	两梯三户	有	70年	163万	9940元/平米	城关区 碧桂园 	
3室2厅1厨1卫	低楼层 (共29层)	112.9㎡	平层	80.8㎡	板楼	南 北	钢混结构	简装	两梯三户	有	70年	112万	9921元/平米	城关区 碧桂园 	
2室2厅1厨2卫	中楼层 (共8层)	94.7㎡	平层	暂无数据	板楼	南 北	框架结构	简装	一梯两户	无	70年	122万	12883元/平米	城关区 西关南关 	
2室2厅1厨1卫	高楼层 (共8层)	126.81㎡	平层	暂无数据	板塔结合	东 北	框架结构	其他	一梯四户	无	70年	182万	14353元/平米	城关区 西关南关 	
2室2厅1厨1卫	低楼层 (共8层)	74㎡	平层	暂无数据	暂无数据	南 北	未知结构	简装	一梯三户	无	70年	75万	10136元/平米	城关区 黄河北 	
3室2厅1厨1卫	低楼层 (共16层)	98㎡	平层	暂无数据	塔楼	西南	框架结构	简装	两梯五户	有	70年	238万	24286元/平米	城关区 东方红广场 	
3室2厅1厨1卫	中楼层 (共8层)	114.96㎡	平层	暂无数据	板楼	南 北	框架结构	精装	一梯三户	无	70年	134万	11657元/平米	城关区 二热 	
3室2厅1厨1卫	高楼层 (共8层)	109㎡	平层	暂无数据	暂无数据	北 南	未知结构	简装	一梯两户	无	70年	145万	13303元/平米	七里河区 建工局 	
3室2厅1厨2卫	低楼层 (共10层)	160.8㎡	错层	暂无数据	板楼	南 北	钢混结构	精装	一梯两户	无	70年	249万	15486元/平米	城关区 西关南关 	
3室2厅1厨2卫	中楼层 (共8层)	180㎡	平层	暂无数据	板楼	南 北	钢混结构	简装	一梯两户	无	70年	190万	10556元/平米	城关区 西关南关 	
3室1厅1厨1卫	中楼层 (共22层)	131.98㎡	平层	暂无数据	板楼	南 北	钢混结构	简装	四梯三户	有	70年	175万	13260元/平米	城关区 火车站 	
2室2厅1厨1卫	高楼层 (共8层)	46㎡	平层	暂无数据	板楼	南	混合结构	简装	一梯三户	无	70年	78万	16957元/平米	城关区 五泉广场 	
2室2厅1厨1卫	高楼层 (共8层)	86㎡	平层	暂无数据	塔楼	南	框架结构	简装	一梯两户	无	70年	155万	18024元/平米	城关区 兰大盘旋路 	
2室2厅1厨1卫	中楼层 (共11层)	106.78㎡	平层	暂无数据	板楼	西	框架结构	精装	两梯六户	有	70年	145万	13580元/平米	七里河区 曦华源 	
4室2厅1厨2卫	高楼层 (共6层)	177㎡	复式	暂无数据	板楼	西 东	框架结构	精装	一梯两户	无	70年	218万	12317元/平米	城关区 北面滩 	
3室2厅1厨2卫	高楼层 (共6层)	122.23㎡	平层	95.65㎡	板楼	南 北	混合结构	简装	一梯两户	无	70年	112.8万	9229元/平米	安宁区 安宁高新区 	
2室2厅1厨1卫	中楼层 (共8层)	95㎡	平层	暂无数据	板塔结合	南 北	框架结构	简装	九梯两户	有	70年	158万	16632元/平米	城关区 兰大盘旋路 	
3室2厅1厨1卫	高楼层 (共24层)	143.88㎡	平层	暂无数据	板塔结合	西北	钢混结构	简装	两梯六户	有	70年	180万	12511元/平米	城关区 兰大盘旋路 	
2室1厅1厨1卫	低楼层 (共6层)	51㎡	平层	暂无数据	板楼	西	混合结构	毛坯	一梯三户	无	70年	62万	12157元/平米	城关区 二热 	
4室2厅1厨2卫	高楼层 (共10层)	175㎡	平层	暂无数据	板楼	北 南	框架结构	简装	一梯两户	无	70年	205万	11715元/平米	城关区 大润发 	
2室2厅1厨1卫	高楼层 (共6层)	77.5㎡	平层	暂无数据	板楼	南 北	钢混结构	简装	一梯三户	无	70年	85万	10968元/平米	城关区 雁滩高新区 	
2室2厅1厨1卫	中楼层 (共8层)	100㎡	平层	暂无数据	板楼	南 北	框架结构	简装	一梯两户	无	70年	101万	10100元/平米	安宁区 费家营十子 	
5室2厅1厨2卫	低楼层 (共32层)	209㎡	平层	暂无数据	塔楼	东 西 北	钢混结构	精装	三梯八户	有	70年	305万	14594元/平米	城关区 西关南关 	
3室2厅1厨1卫	中楼层 (共8层)	115㎡	平层	暂无数据	板楼	东 西 北	框架结构	简装	一梯三户	无	70年	113万	9827元/平米	七里河区 龚家湾 	
2室2厅1厨1卫	低楼层 (共32层)	78㎡	平层	暂无数据	暂无数据	南	未知结构	毛坯	一梯四户	暂无数据	70年	95万	12180元/平米	城关区 大沙坪 	
2室2厅1厨1卫	中楼层 (共6层)	61㎡	平层	暂无数据	板楼	南 北	砖混结构	简装	一梯两户	无	70年	75万	12296元/平米	城关区 火车站 	
2室1厅1厨1卫	高楼层 (共7层)	78.49㎡	平层	暂无数据	暂无数据	南 北	未知结构	简装	一梯五户	暂无数据	70年	105万	13378元/平米	城关区 火车站 	
3室2厅2厨1卫	低楼层 (共32层)	129.6㎡	平层	暂无数据	板楼	南 北	框架结构	精装	两梯七户	有	70年	155万	11960元/平米	城关区 雁滩高新区 	
3室2厅1厨1卫	高楼层 (共6层)	92.6㎡	平层	暂无数据	暂无数据	西 北	未知结构	简装	一梯一户	暂无数据	70年	128万	13823元/平米	城关区 东方红广场 	
3室2厅1厨1卫	中楼层 (共8层)	95㎡	平层	暂无数据	板楼	南 北	钢混结构	简装	一梯两户	无	70年	200万	21053元/平米	城关区 东方红广场 	
3室2厅1厨1卫	低楼层 (共8层)	102.8㎡	平层	暂无数据	板楼	南 北	钢混结构	简装	一梯两户	无	70年	106万	10312元/平米	城关区 幸福巷 	
3室1厅1厨1卫	低楼层 (共22层)	110㎡	平层	暂无数据	板楼	南	钢混结构	简装	两梯四户	有	70年	78万	7091元/平米	安宁区 幸福巷 	
3室2厅1厨2卫	高楼层 (共33层)	162.53㎡	平层	暂无数据	板楼	南 北	框架结构	毛坯	两梯七户	有	70年	219万	13475元/平米	安宁区 海关 	
4室2厅1厨2卫	中楼层 (共18层)	136.68㎡	平层	暂无数据	板楼	南 北	钢混结构	毛坯	一梯两户	无	70年	155万	11341元/平米	安宁区 莫高大道 	
3室2厅1厨2卫	低楼层 (共17层)	112㎡	平层	暂无数据	板楼	南 北	框架结构	简装	两梯四户	有	70年	190万	16965元/平米	七里河区 仁恒美林郡 	
3室1厅1厨1卫	低楼层 (共6层)	75㎡	平层	暂无数据	板楼	南 北	砖混结构	简装	一梯两户	无	70年	100万	13334元/平米	城关区 西关南关 	
3室2厅1厨2卫	中楼层 (共33层)	145.51㎡	平层	暂无数据	塔楼	南 北	钢混结构	精装	两梯七户	有	70年	195万	13402元/平米	安宁区 海关 	
3室2厅1厨2卫	高楼层 (共33层)	150㎡	平层	暂无数据	板楼	南 北	框架结构	精装	一梯八户	无	70年	310万	20667元/平米	城关区 火车站 	
2室1厅1厨2卫	中楼层 (共8层)	85㎡	平层	暂无数据	暂无数据	南 北	未知结构	其他	一梯四户	无	70年	133万	15648元/平米	城关区 西关南关 	
2室2厅1厨1卫	中楼层 (共5层)	103㎡	暂无数据	暂无数据	暂无数据	南 北	未知结构	简装	一梯两户	无	70年	106万	10292元/平米	城关区 安宁区 	
3室2厅1厨1卫	低楼层 (共11层)	128㎡	平层	暂无数据	板楼	南 北	框架结构	精装	一梯四户	有	70年	160万	12500元/平米	城关区 雁滩高新区 	
3室2厅1厨1卫	中楼层 (共18层)	110.55㎡	平层	暂无数据	板楼	南 北	钢混结构	精装	两梯两户	有	70年	180万	16283元/平米	安宁区 海关 	
2室2厅1厨2卫	中楼层 (共9层)	110㎡	平层	暂无数据	板楼	东 南 西	框架结构	精装	五梯四户	有	70年	190万	17273元/平米	城关区 兰大盘旋路 	
2室2厅1厨1卫	高楼层 (共33层)	115.84㎡	平层	暂无数据	板塔结合	南	钢混结构	简装	两梯四户	有	70年	175万	15108元/平米	城关区 北面滩 	
3室2厅1厨1卫	中楼层 (共8层)	169.15㎡	平层	暂无数据	暂无数据	南 北	未知结构	精装	一梯两户	无	70年	200万	11824元/平米	城关区 西关南关 	
3室1厅1厨1卫	低楼层 (共6层)	76㎡	平层	暂无数据	板楼	南 北	混合结构	简装	一梯三户	无	70年	80万	10527元/平米	七里河区 龚家湾 	
3室3厅1厨3卫	低楼层 (共23层)	319.9㎡	复式	暂无数据	板楼	南 北	框架结构	简装	两梯两户	有	70年	570万	17819元/平米	城关区 大润发 	
2室2厅1厨2卫	低楼层 (共10层)	124.6㎡	平层	暂无数据	板楼	东 西	框架结构	简装	一梯三户	无	70年	140万	11236元/平米	城关区 东部 	
3室2厅1厨2卫	中楼层 (共25层)	137㎡	平层	暂无数据	板楼	南 北	钢混结构	精装	两梯四户	有	70年	206万	15037元/平米	安宁区 海关 	
3室2厅1厨1卫	高楼层 (共32层)	128.73㎡	平层	暂无数据	板楼	南 北	钢混结构	简装	两梯四户	有	70年	167万	12973元/平米	城关区 北面滩 	
2室2厅1厨1卫	高楼层 (共7层)	101㎡	平层	暂无数据	板楼	南 北	框架结构	简装	一梯两户	无	70年	113万	11189元/平米	七里河区 七里河区 	
2室2厅1厨1卫	高楼层 (共8层)	83.4㎡	平层	暂无数据	板楼	东 西	框架结构	精装	一梯三户	无	70年	90万	10792元/平米	城关区 火车站 	
3室2厅1厨2卫	高楼层 (共8层)	89㎡	平层	暂无数据	板楼	南	框架结构	简装	一梯两户	无	70年	124万	13933元/平米	城关区 二热 	
3室2厅1厨1卫	中楼层 (共9层)	109㎡	平层	暂无数据	板楼	西 东	框架结构	精装	一梯三户	无	70年	133万	12202元/平米	城关区 二热 	
4室2厅1厨2卫	中楼层 (共18层)	136㎡	平层	暂无数据	板楼	南 北	钢混结构	精装	一梯两户	有	70年	200万	14706元/平米	安宁区 莫高大道 	
2室2厅1厨2卫	中楼层 (共9层)	91㎡	平层	暂无数据	暂无数据	南 北	框架结构	简装	一梯两户	无	70年	150万	16484元/平米	城关区 西关南关 	
3室2厅1厨2卫	低楼层 (共18层)	147㎡	平层	暂无数据	板楼	南 北	钢混结构	精装	一梯四户	无	70年	150万	10205元/平米	安宁区 幸福巷 	
3室2厅1厨1卫	中楼层 (共10层)	106㎡	平层	暂无数据	板楼	南 北	框架结构	简装	一梯两户	无	70年	115万	10850元/平米	城关区 东部 	
3室2厅1厨1卫	中楼层 (共7层)	180㎡	平层	暂无数据	板塔结合	南 北	框架结构	简装	一梯两户	无	70年	192万	10667元/平米	城关区 黄河北 	
2室2厅1厨1卫	低楼层 (共7层)	113㎡	平层	98㎡	板塔结合	南 北	钢混结构	精装	一梯两户	无	70年	148万	13098元/平米	城关区 兰大盘旋路 	
3室2厅1厨2卫	中楼层 (共10层)	149㎡	平层	暂无数据	板塔结合	东	钢混结构	简装	两梯四户	有	70年	173万	11611元/平米	七里河区 建工局 	
2室2厅1厨1卫	中楼层 (共8层)	98㎡	平层	暂无数据	板楼	西南	框架结构	简装	一梯两户	无	70年	90万	9184元/平米	城关区 大沙坪 	
3室2厅1厨2卫	中楼层 (共13层)	133.3㎡	平层	107.19㎡	板楼	南 北	钢混结构	精装	一梯两户	有	70年	184万	13804元/平米	城关区 北面滩 	
3室2厅1厨1卫	中楼层 (共23层)	149㎡	平层	暂无数据	塔楼	西南	钢混结构	简装	两梯六户	有	70年	203万	13625元/平米	城关区 东方红广场 	
3室2厅1厨2卫	高楼层 (共28层)	195㎡	平层	暂无数据	板楼	东	钢混结构	简装	一梯三户	有	70年	300万	15385元/平米	城关区 兰大盘旋路 	
3室2厅1厨2卫	中楼层 (共30层)	178.45㎡	平层	暂无数据	塔楼	东南	框架结构	精装	三梯十户	有	70年	205万	11488元/平米	城关区 东部 	
3室1厅1厨1卫	中楼层 (共5层)	80㎡	平层	暂无数据	塔楼	南 北	砖混结构	精装	一梯三户	无	70年	79.8万	9975元/平米	城关区 西关南关 	
3室2厅1厨1卫	高楼层 (共32层)	126㎡	平层	暂无数据	板塔结合	南 北	框架结构	精装	一梯四户	暂无数据	70年	150万	11905元/平米	城关区 九州 	
3室1厅1厨1卫	低楼层 (共8层)	80㎡	平层	暂无数据	板塔结合	东 西 北	框架结构	其他	一梯两户	无	70年	130万	16250元/平米	城关区 东方红广场 	
3室2厅1厨1卫	中楼层 (共8层)	130㎡	平层	108.69㎡	板楼	南 北	框架结构	简装	一梯三户	无	70年	145.5万	11193元/平米	城关区 大润发 	
3室2厅1厨2卫	高楼层 (共24层)	128.34㎡	平层	暂无数据	塔楼	西北	框架结构	简装	两梯四户	有	70年	168万	13091元/平米	城关区 雁滩高新区 	
2室1厅1厨1卫	中楼层 (共8层)	69.11㎡	平层	暂无数据	板楼	南 北	框架结构	简装	一梯四户	无	70年	69万	9985元/平米	城关区 雁滩高新区 	
3室2厅1厨1卫	中楼层 (共33层)	143.35㎡	平层	暂无数据	板塔结合	南 西	框架结构	简装	两梯八户	有	70年	180万	12557元/平米	七里河区 建工局 	
2室2厅1厨2卫	中楼层 (共10层)	132.8㎡	平层	暂无数据	板楼	南 北	框架结构	简装	一梯六户	无	70年	156万	11747元/平米	城关区 东方红广场 	
